CMDLINE 22536
MEM 3.417969 1714303985.5242
MEM 3.417969 1714303985.6247
MEM 3.417969 1714303985.7254
MEM 3.417969 1714303985.8261
MEM 3.417969 1714303985.9268
MEM 3.417969 1714303986.0271
MEM 3.417969 1714303986.1277
MEM 3.417969 1714303986.2279
MEM 3.417969 1714303986.3287
MEM 3.417969 1714303986.4294
MEM 3.417969 1714303986.5303
MEM 3.417969 1714303986.6309
MEM 3.417969 1714303986.7318
MEM 3.417969 1714303986.8324
MEM 3.417969 1714303986.9331
MEM 3.417969 1714303987.0335
MEM 3.417969 1714303987.1339
MEM 3.417969 1714303987.2342
MEM 3.417969 1714303987.3346
MEM 3.417969 1714303987.4350
MEM 3.417969 1714303987.5352
MEM 3.417969 1714303987.6356
MEM 3.417969 1714303987.7360
MEM 3.417969 1714303987.8364
MEM 3.417969 1714303987.9368
MEM 3.417969 1714303988.0371
MEM 3.417969 1714303988.1374
MEM 3.417969 1714303988.2377
MEM 3.417969 1714303988.3384
MEM 3.417969 1714303988.4389
MEM 3.417969 1714303988.5395
MEM 3.417969 1714303988.6400
MEM 3.417969 1714303988.7402
MEM 3.417969 1714303988.8406
MEM 3.417969 1714303988.9408
MEM 3.417969 1714303989.0410
MEM 3.417969 1714303989.1413
MEM 3.417969 1714303989.2416
MEM 3.417969 1714303989.3420
MEM 3.417969 1714303989.4425
MEM 3.417969 1714303989.5431
MEM 3.417969 1714303989.6437
MEM 3.417969 1714303989.7439
MEM 3.417969 1714303989.8442
MEM 3.417969 1714303989.9444
MEM 3.417969 1714303990.0448
MEM 3.417969 1714303990.1453
MEM 3.417969 1714303990.2456
MEM 3.417969 1714303990.3457
MEM 3.417969 1714303990.4461
MEM 3.417969 1714303990.5467
MEM 3.417969 1714303990.6473
MEM 3.417969 1714303990.7475
MEM 3.417969 1714303990.8481
MEM 3.417969 1714303990.9484
MEM 3.417969 1714303991.0487
MEM 3.417969 1714303991.1489
MEM 3.417969 1714303991.2493
MEM 3.417969 1714303991.3498
MEM 3.417969 1714303991.4503
MEM 3.417969 1714303991.5509
MEM 3.417969 1714303991.6513
MEM 3.417969 1714303991.7518
MEM 3.417969 1714303991.8521
MEM 3.417969 1714303991.9523
MEM 3.417969 1714303992.0527
MEM 3.417969 1714303992.1533
MEM 3.417969 1714303992.2537
MEM 3.417969 1714303992.3544
MEM 3.417969 1714303992.4550
MEM 3.417969 1714303992.5555
MEM 3.417969 1714303992.6560
MEM 3.417969 1714303992.7562
MEM 3.417969 1714303992.8568
MEM 3.417969 1714303992.9571
MEM 3.417969 1714303993.0575
MEM 3.417969 1714303993.1579
MEM 3.417969 1714303993.2581
MEM 3.417969 1714303993.3587
MEM 3.417969 1714303993.4593
MEM 3.417969 1714303993.5596
MEM 3.417969 1714303993.6602
MEM 3.417969 1714303993.7606
MEM 3.417969 1714303993.8613
MEM 3.417969 1714303993.9620
MEM 3.417969 1714303994.0624
MEM 3.417969 1714303994.1632
MEM 3.417969 1714303994.2637
MEM 3.417969 1714303994.3643
MEM 3.417969 1714303994.4648
MEM 3.417969 1714303994.5653
MEM 3.417969 1714303994.6657
MEM 3.417969 1714303994.7662
MEM 3.417969 1714303994.8668
MEM 3.417969 1714303994.9672
MEM 3.417969 1714303995.0678
MEM 3.417969 1714303995.1680
MEM 3.417969 1714303995.2683
MEM 3.417969 1714303995.3689
MEM 3.417969 1714303995.4692
MEM 3.417969 1714303995.5695
MEM 3.417969 1714303995.6699
MEM 3.417969 1714303995.7705
MEM 3.417969 1714303995.8707
MEM 3.417969 1714303995.9713
MEM 3.417969 1714303996.0715
MEM 3.417969 1714303996.1721
MEM 3.417969 1714303996.2724
MEM 3.417969 1714303996.3727
MEM 3.417969 1714303996.4730
MEM 3.417969 1714303996.5732
MEM 3.417969 1714303996.6736
MEM 3.417969 1714303996.7741
MEM 3.417969 1714303996.8746
MEM 3.417969 1714303996.9753
MEM 3.417969 1714303997.0759
MEM 3.417969 1714303997.1873
MEM 3.417969 1714303997.2886
MEM 3.417969 1714303997.3890
MEM 3.417969 1714303997.4956
MEM 3.417969 1714303997.6007
MEM 3.417969 1714303997.7017
MEM 3.417969 1714303997.8021
MEM 3.417969 1714303997.9026
MEM 3.417969 1714303998.0041
MEM 3.417969 1714303998.1043
MEM 3.417969 1714303998.2045
MEM 3.417969 1714303998.3049
MEM 3.417969 1714303998.4052
MEM 3.417969 1714303998.5058
MEM 3.417969 1714303998.6062
